date,open,high,low,close,volume
2018-10-03,92.05,92.71,90.83,91.03,1405152.0
2018-10-04,91.36,92.57,90.81,91.04,1300519.0
2018-10-05,91.01,92.1907,89.91,90.58,1179094.0
2018-10-08,90.6,92.245,90.6,91.29,1163576.0
2018-10-09,91.49,91.8,90.435,90.92,1157984.0
2018-10-10,91.05,92.8307,90.81,90.84,1781756.0
2018-10-11,90.53,90.79,86.87,87.31,1590367.0
2018-10-12,88.25,88.78,86.76,88.48,1147977.0
2018-10-15,88.07,90.54,88.07,89.54,956882
2018-10-16,90.03,93.22,89.49,92.57,2020418.0
2018-10-17,92.77,94.57,92.5,93.76,1470421.0
2018-10-18,93.96,94.28,92.54,93.38,881299
2018-10-19,93.29,94.85,92.44,92.8,1100546.0
2018-10-22,92.96,93.5,89.65,90.22,1244913.0
2018-10-23,88.95,90.74,87.49,90.28,940717
2018-10-24,89.84,90.19,84.33,84.49,2792575.0
2018-10-25,84.63,87.3,83.58,85.72,2680953.0
2018-10-26,84.94,86.12,83.07,84.72,1017444.0
2018-10-29,85.91,87.73,84.88,85.99,777601
2018-10-30,86.34,87.68,85.81,87.61,1096044.0
2018-10-31,88.01,89.22,87.13,88,961979
2018-11-01,88.44,91.17,88.39,90.92,928021
2018-11-02,91.71,91.98,88.06,88.57,989832
2018-11-05,89.17,89.565,88.25,88.56,1162973.0
2018-11-06,83.5,85.94,80.2821,84,4966412.0
2018-11-07,84.4,87.37,84.4,86.54,1975202.0
2018-11-08,85.87,90.02,84.87,89.17,2155004.0
2018-11-09,88.88,90.31,87.64,88.86,1129356.0
2018-11-12,88.35,90.33,87.98,89.92,954839
2018-11-13,90.03,92.59,89.75,91.31,1683667.0
2018-11-14,91.52,92.44,89.21,89.58,1178629.0
2018-11-15,88.66,89.18,86.08,89.15,1200646.0
2018-11-16,88.31,89.12,87.45,88.75,1175391.0
2018-11-19,89.1,91.37,88.15,90.82,2033136.0
2018-11-20,90.05,91.53,87.96,88.87,2099096.0
2018-11-21,88.52,89.3,87.1,87.43,1253142.0
2018-11-23,87.18,88,86.46,87.66,361484
2018-11-26,88.63,89.23,88.02,88.94,928851
2018-11-27,88.89,89.75,88.35,89.63,1327218.0
2018-11-28,89.7,91.27,89.05,91.24,1019003.0
2018-11-29,90.89,91.21,89.88,90.5,805224
2018-11-30,90.68,90.87,87.67,88.9,1934657.0
2018-12-03,88.98,89.675,88.05,89.02,1270388.0
2018-12-04,88.6,90.255,87.41,87.61,2102980.0
2018-12-06,86.99,86.99,83.33,85.98,1582575.0
2018-12-07,85.54,86.26,84,84.32,934713
2018-12-10,84.42,84.42,80.45,83.55,1194031.0
2018-12-11,84.39,84.78,81.65,82.48,1297895.0
2018-12-12,83.08,84.98,83.07,83.22,1175872.0
2018-12-13,82.93,83.34,81.28,81.89,1140934.0
2018-12-14,80.78,81.33,78.765,78.97,1568022.0
2018-12-17,78.12,78.55,76.5,77,1472845.0
2018-12-18,77.46,78.6,75.42,76.24,1327414.0
2018-12-19,76.49,78.67,75.66,76.31,1639342.0
2018-12-20,75.85,77.02,72.1402,73.22,2130725.0
2018-12-21,73.21,75.56,71.545,71.98,2573741.0
2018-12-24,71.97,72.71,70.63,70.76,523980
2018-12-26,70.9,73.13,69.36,73.04,1049164.0
2018-12-27,72.23,73.53,70.385,73.53,1213290.0
2018-12-28,73.9,75.08,72.81,73.96,1543155.0
2018-12-31,74.09,75.08,73.365,74.4,1028553.0
2019-01-02,73.74,74.765,73.11,74.45,1149768.0
2019-01-03,74.09,74.71,72.91,73.37,1499794.0
2019-01-04,73.66,74.36,72.55,74.22,2417780.0
2019-01-07,74.43,76.24,73.82,74.75,1608315.0
2019-01-08,75.1,75.93,74.105,75.55,1689645.0
2019-01-09,75.92,76.9,75.59,76.32,1151415.0
2019-01-10,75.95,76.33,74.78,76,1623190.0
2019-01-11,75.64,76.62,74.875,76.56,978663
2019-01-14,76.03,77.62,76.01,76.86,1466403.0
2019-01-15,76.99,77.74,76.39,77.26,1667621.0
2019-01-16,77.25,77.77,76.67,77.3,989093
2019-01-17,77.79,78.13,76,76.08,1369860.0
2019-01-18,76.82,79.95,76.5002,79.86,2245858.0
2019-01-22,79.25,79.91,78.22,79.71,1400412.0
2019-01-23,79.81,79.98,77.67,79.36,1044039.0
2019-01-24,79.3,79.95,78.3,78.7,670220
2019-01-25,79.21,80.53,78.97,79.66,924432
2019-01-28,79.47,80.31,78.88,80.12,838814
2019-01-29,80.04,80.11,78.52,79.54,1040907.0
2019-01-30,79.73,80.14,78.33,78.53,1833461.0
2019-01-31,80.48,85.86,80.48,83.37,4542600.0
2019-02-01,81.82,83.82,79.7,83.76,4283410.0
2019-02-05,84.75,86.35,84.48,85.77,1589849.0
